    PID CMD
    890 avahi-daemon: chroot helper
    829 avahi-daemon: running [osc.local]
  22069 bash
  32174 bash
  34253 bash
  34631 bash
     20 [cpuhp/0]
     21 [cpuhp/1]
    830 @dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation --syslog-only
     55 [ecryptfs-kthread]
   2837 fusermount3 -o rw,nosuid,nodev,fsname=portal,auto_unmount,subtype=portal -- /run/user/1000/doc
   2067 gdm-session-worker [pam/gdm-password]
  31928 gjs /usr/share/gnome-shell/extensions/ding@rastersoft.com/app/ding.js -E -P /usr/share/gnome-shell/extensions/ding@rastersoft.com/app
   7287 gpg-agent --homedir /var/lib/fwupd/gnupg --use-standard-socket --daemon
     19 [idle_inject/0]
     22 [idle_inject/1]
     44 [irq/9-acpi]
    290 [jbd2/dm-0-8]
    493 [jbd2/sda2-8]
     32 [kauditd]
     37 [kcompactd0]
     29 [kdevtmpfs]
     40 [khugepaged]
     33 [khungtaskd]
     38 [ksmd]
     16 [ksoftirqd/0]
     24 [ksoftirqd/1]
     54 [kswapd0]
      2 [kthreadd]
  19113 [kworker/0:1H-kblockd]
  23162 [kworker/0:2H-kblockd]
  35728 [kworker/0:2-inet_frag_wq]
  35729 [kworker/0:3-events]
  30944 [kworker/1:0H-kblockd]
  34795 [kworker/1:2-events]
  15793 [kworker/1:2H]
  35683 [kworker/1:3-events]
     57 [kworker/R-acpi_]
     46 [kworker/R-ata_s]
     43 [kworker/R-blkcg]
     91 [kworker/R-charg]
    729 [kworker/R-crypt]
     50 [kworker/R-devfr]
     49 [kworker/R-edac-]
    291 [kworker/R-ext4-]
    494 [kworker/R-ext4-]
     30 [kworker/R-inet_]
     66 [kworker/R-ipv6_]
     42 [kworker/R-kbloc]
    251 [kworker/R-kdmfl]
     41 [kworker/R-kinte]
     74 [kworker/R-kstrp]
     56 [kworker/R-kthro]
     47 [kworker/R-md]
     48 [kworker/R-md_bi]
     65 [kworker/R-mld]
     12 [kworker/R-mm_pe]
      7 [kworker/R-netns]
      4 [kworker/R-rcu_g]
      5 [kworker/R-rcu_p]
     60 [kworker/R-scsi_]
     62 [kworker/R-scsi_]
    145 [kworker/R-scsi_]
    147 [kworker/R-scsi_]
    149 [kworker/R-scsi_]
    151 [kworker/R-scsi_]
    153 [kworker/R-scsi_]
    155 [kworker/R-scsi_]
    157 [kworker/R-scsi_]
    159 [kworker/R-scsi_]
    161 [kworker/R-scsi_]
    163 [kworker/R-scsi_]
    165 [kworker/R-scsi_]
    168 [kworker/R-scsi_]
    170 [kworker/R-scsi_]
    172 [kworker/R-scsi_]
    175 [kworker/R-scsi_]
    178 [kworker/R-scsi_]
    180 [kworker/R-scsi_]
    183 [kworker/R-scsi_]
    185 [kworker/R-scsi_]
    187 [kworker/R-scsi_]
    189 [kworker/R-scsi_]
    191 [kworker/R-scsi_]
    194 [kworker/R-scsi_]
    196 [kworker/R-scsi_]
    198 [kworker/R-scsi_]
    200 [kworker/R-scsi_]
    202 [kworker/R-scsi_]
    204 [kworker/R-scsi_]
    206 [kworker/R-scsi_]
    208 [kworker/R-scsi_]
      6 [kworker/R-slub_]
  15148 [kworker/R-tls-s]
     45 [kworker/R-tpm_d]
    143 [kworker/R-ttm]
     36 [kworker/R-write]
  24027 [kworker/u4:1]
  18310 [kworker/u4:2-ext4-rsv-conversion]
  34798 [kworker/u5:0-flush-252:0]
  34091 [kworker/u5:1-events_unbound]
  35724 [kworker/u5:2-events_power_efficient]
  35623 [kworker/u5:3-events_power_efficient]
  34037 [kworker/u6:0-events_power_efficient]
  35674 [kworker/u6:1-events_unbound]
  35516 [kworker/u6:2-events_unbound]
  36007 [kworker/u6:3-events_power_efficient]
     76 [kworker/u7:0]
     77 [kworker/u8:0]
     78 [kworker/u9:0]
     18 [migration/0]
     23 [migration/1]
     34 [oom_reaper]
      3 [pool_workqueue_release]
  36993 ps -eo pid,cmd --sort=cmd
    433 [psimon]
  31843 [psimon]
     17 [rcu_preempt]
     13 [rcu_tasks_kthread]
     14 [rcu_tasks_rude_kthread]
     15 [rcu_tasks_trace_kthread]
      1 /sbin/init splash
     59 [scsi_eh_0]
     61 [scsi_eh_1]
    160 [scsi_eh_10]
    162 [scsi_eh_11]
    164 [scsi_eh_12]
    166 [scsi_eh_13]
    169 [scsi_eh_14]
    171 [scsi_eh_15]
    174 [scsi_eh_16]
    176 [scsi_eh_17]
    179 [scsi_eh_18]
    182 [scsi_eh_19]
    144 [scsi_eh_2]
    184 [scsi_eh_20]
    186 [scsi_eh_21]
    188 [scsi_eh_22]
    190 [scsi_eh_23]
    192 [scsi_eh_24]
    195 [scsi_eh_25]
    197 [scsi_eh_26]
    199 [scsi_eh_27]
    201 [scsi_eh_28]
    203 [scsi_eh_29]
    146 [scsi_eh_3]
    205 [scsi_eh_30]
    207 [scsi_eh_31]
    148 [scsi_eh_4]
    150 [scsi_eh_5]
    152 [scsi_eh_6]
    154 [scsi_eh_7]
    156 [scsi_eh_8]
    158 [scsi_eh_9]
   2112 (sd-pam)
  34521 sleep 600
  18352 /snap/firefox/4173/usr/lib/firefox/firefox
  26491 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 13 -isForBrowser -prefsLen 31653 -prefMapSize 241234 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {7073decc-4e1b-4587-89c4-1437f4868f02} 18352 true tab
  26608 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 14 -isForBrowser -prefsLen 31653 -prefMapSize 241234 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {c05a9d91-ea0a-4ede-96af-e55119516881} 18352 true tab
  30969 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 18 -isForBrowser -prefsLen 31658 -prefMapSize 241234 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {af3ddc04-d35c-4aec-9c3a-3686fff836bb} 18352 true tab
  30997 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 19 -isForBrowser -prefsLen 31658 -prefMapSize 241234 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {f8513910-4fb7-4994-b688-42b75a2b5a88} 18352 true tab
  18491 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 1 -isForBrowser -prefsLen 28472 -prefMapSize 241234 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {7576f729-1a10-477f-a981-58d088d915b5} 18352 true tab
  31021 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 20 -isForBrowser -prefsLen 31658 -prefMapSize 241234 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {83495213-d436-45c7-8576-0ab1b11c2ce6} 18352 true tab
  31087 /snap/firefox/4173/usr/lib/firefox/firefox -contentproc -childID 22 -isForBrowser -prefsLen 31658 -prefMapSize 241234 -jsInitLen 234952 -parentBuildID 20240419214016 -greomni /snap/firefox/4173/usr/lib/firefox/omni.ja -appomni /snap/firefox/4173/usr/lib/firefox/browser/omni.ja -appDir /snap/firefox/4173/usr/lib/firefox/browser {09d0f6c6-c6aa-4611-8d21-48aa5e73bf84} 18352 true tab
